id,nickname
4481,fundacio_ramon_calsi
4497,nautae
2915,alberto_molina
4506,adelina_2
3351,pepa_g
4549,dcm
3535,adrian_perez_domingu
4562,quim_martin_bernado
4557,brauli_tamarit
4572,gemma_riquelme
4574,
4577,jaume_ciutatvella
4584,aefsarrels
4600,vallvi_sup
3248,susana_n
4689,mjs
4701,arati
4671,nuria_torres_mestres
4741,mireia_la_salut-grac
4776,joan_queralt_gil
4798,davalc1979
1051,miguel_giner_bermejo
266,licha
31193,sant_marti_eix_comer
4862,josep_alberjon_fuman
4868,manel_olle_garcia
4213,andreu42
4873,carlota_gimenez_i_co
4750,iglous
4871,adria_c
4896,guillen_auge
4936,maxriera
1696,ventura
31195,federacio_catalana_2
31196,ecom_2
31197,fatec_federacio_d_as
4973,treballadors_i_treba
31199,aavv_bon_pastor_2
31200,aavv_la_sagrera_2
31201,ue_sant_andreu_2
31202,sant_joan_de_mata_2
31203,ae_fs_arrels_2
31204,teixit_associatiu__2
31205,club_esportiu_sagr_2
31206,comissio_passatges_2
31207,aavv_maresme_2
31208,aavv_verneda_alta_2
31209,aavv_front_maritim_2
31210,coordinadora_d_ass_2
31211,consell_de_barri_d_4
31212,xarxa_0-18_2
4988,consell_plenari
31214,ateneu_de_nou_barr_2
31215,aavv_barceloneta_2
31177,fundacio_comtal
31216,aavv_l_ostia_2
31218,pacte_local_de_la__2
31217,cap_a_mar_2
4994,petits_maians
31219,xamfra_centre_de_m_2
31220,casal_d_infants_2
31221,consell_de_barri_d_5
31222,consell_de_barri_f_2
31223,consell_de_barri_e_2
31224,consell_de_barri_s_2
31225,consell_de_barri_s_3
31226,tedxgracia_2
31227,escola_montseny_2
31228,club_de_petanca_ca_2
31229,club_d_escacs_tres_2
31230,fundacio_banc_de_r_2
31231,ubae_2
31232,escola_solc_nou_2
31233,asociacion_social__2
31234,castellers_de_la_v_2
31235,fundacio_pere_tarr_2
31236,as_cambium_permacu_2
31237,fundacio_claror_2
31238,casal_montmany_2
31239,associacio_casal_c_2
31240,minyons_escoltes_i_2
31241,aavv_coll_vallcarc_2
31242,associacio_de_come_3
31243,fundacio_festa_maj_2
31244,associacio_de_vei_12
31245,gracia_multimedia_2
31246,centre_de_joves_i__2
31247,youkali_-_escola_d_2
31248,comissio_de_joves__2
31249,esplai_sant_jordi_2
31250,associacio_cultura_3
31251,club_de_petanca_el_2
31252,aavv_del_passeig_t_2
31253,coordinadora_de_co_2
31254,societat_catalana_2
31255,consell_de_barri_d_6
31256,consell_de_barri_d_7
31257,consell_de_barri_d_8
31258,veinat_de_sarria_2
31259,veinat_del_putxet_2
31260,veinat_de_galvany_2
31261,veinat_de_la_bonan_2
31262,veinat_de_les_tres_2
31263,veinat_de_vallvidr_2
31264,consell_de_barri_m_2
31265,consell_de_barri_p_2
31266,consell_de_barri_l_2
31267,plataforma_infanti_2
5044,treballadores_i_treb
4887,josefina_marquez_tra
31180,associacio_intercu_2
5065,alberto_2
5133,josep_meri
5176,vicky_suller
5178,regalim
234,evita
5187,villarrasa
5185,marino
5196,enriqueta
2350,aitor_felipe
5201,amadeu_al
5230,esther_rey
5254,xavier88
553,bernat_pardinilla
5270,carlotta_cat
5276,anonim_2_3_4_5_6__53
5256,inma88
285,hector_2
5288,aeroleo
5307,associacio_de_cuidad
5329,associacio_esfune
5337,ana_flores
5344,josep_bohigas
5354,cristina_romagosa
5357,daviduriarte
608,sideroploide
5199,msd
2761,daviz_villota
2435,hibrid_trentatres
1571,pilar_murteira
5385,bncm
5413,dolors_2
5417,carla_monroy_ortiz
5080,
1356,
5426,jordi_peries_sierra
5465,accio_social_en_comu
5471,jordi_princep
2444,albert_vila_picas
4431,victorm
5490,ser
5500,angels_gironella_sol
5480,emilia_escuder
31278,gremi_provincial_de_
1126,arturo
5623,jaumeben
5661,mariano_serrano_sa_2
5667,cbg
5733,gerard_gual_gasulla
5248,carla_saballs
5810,sergi_gazquez
31191,associacio_de_vei_11
5839,josepmgg
31279,districte_ix_imatge
40,sergio_espin
2052,jordibvg
5908,jesus_delgado_sald_2
5920,cjprospe
5907,tonyo
5963,antonio_ros_garcia
5192,charlie_lefuck
5868,anna_maria
5757,ana_villagordo
3163,arnaurvm
3499,aurora_alvarez
4677,miquel_garcia
31282,associacio_de_vei_13
6185,m_mateu
6211,a_serra
6165,manelh
4036,jaume_elias_i_boye
6243,nuria_calzada
31291,associacio_de_vei_15
6338,silvia_jane
6334,thais_nm
6372,avv_el_sanatori
6401,victor_sanz
2372,kiko_valdivia
5705,tristan
3827,suport_decidim_barce
6431,miguel_dieste
6439,mario_catelli
6455,miguel_ramirez
3580,pere_ortega
6469,olga_pinero
6473,jaume_layola
6480,arnau_luke
31287,confederacio_de_come
6497,xino_xano_associacio
6514,oriol_b
6254,jose_m_lopez_pijuan
6585,taula_oberta_trinita
6601,toni_oliver
6584,col_lectiu_agudells
6219,i_g
6618,neus_savi
4307,ruscalleda_miquel
6654,andrea_weia
6653,joan_b_2
6658,angel9b
31174,associacio_institut_
6695,alejandrojgs
6706,josep_maria_tarazona
6757,ramiroquai
6766,jordi_r
6819,daniel_aparicio_serr
6803,boca_419
2669,mirta_manzetti_cerez
6885,antonio_lucena_cabel
6910,frank_perez_bretones
6920,noidelguinardo
6942,isaac_a
6932,jose_luis_garcia_gon
6187,carme_martin
6762,miquel_ruscalleda_bo
6981,mdl
6995,pilar_g
2513,glillo
7027,maria_sol_kliczkowsk
7048,menno_van_rijn
7075,sole_moreno_maiz
5546,
